Dataset,Unit,RunIndex,SourceGroup,SignalSampleN,Sensor,Statistic,StoredValue,ReconstructedValue,Difference,AbsoluteDifference,StandardisedAbsoluteDifference
NUAA,W4,7,64,1674,force_z,Mean,85.9315543608124,85.9315543608124,0,0,0
NUAA,W4,8,65,1405,force_z,Mean,-38.3389712455516,-38.3389712455516,0,0,0
NUAA,W4,9,66,1558,force_z,Mean,58.9670355584082,58.9670355584082,0,0,0
NUAA,W4,10,67,1684,force_z,Mean,43.7122790973872,43.7122790973872,0,0,0
NUAA,W4,11,68,1649,force_z,Mean,88.8315479684658,88.8315479684658,0,0,0
NUAA,W4,12,69,1643,force_z,Mean,95.1802574558734,95.1802574558734,0,0,0
NUAA,W4,13,70,1622,force_z,Mean,91.3059696670777,91.3059696670777,0,0,0
NUAA,W4,14,71,1628,force_z,Mean,84.0389578624079,84.0389578624079,0,0,0
NUAA,W4,15,72,1624,force_z,Mean,101.853541625616,101.853541625616,0,0,0
NUAA,W4,16,73,1659,force_z,Mean,154.822497287523,154.822497287523,0,0,0
NUAA,W4,17,74,1703,force_z,Mean,61.3175180270111,61.3175180270111,0,0,0
NUAA,W4,18,75,1729,force_z,Mean,99.6656284557548,99.6656284557548,0,0,0
NUAA,W4,19,76,1669,force_z,Mean,76.7839397243859,76.7839397243859,0,0,0
NUAA,W4,20,77,1639,force_z,Mean,146.683522269677,146.683522269677,0,0,0
NUAA,W4,21,78,1721,force_z,Mean,16.4942049970947,16.4942049970947,0,0,0
NUAA,W4,22,79,1656,force_z,Mean,83.7103303140097,83.7103303140097,0,0,0
NUAA,W4,23,80,1915,force_z,Mean,60.1476908616188,60.1476908616188,0,0,0
NUAA,W4,24,81,1641,force_z,Mean,160.837468616697,160.837468616697,0,0,0
NUAA,W4,25,82,1570,force_z,Mean,111.674700127389,111.674700127389,0,0,0
NUAA,W4,26,83,1647,force_z,Mean,146.855421857923,146.855421857923,0,0,0
NUAA,W4,27,84,1680,force_z,Mean,152.194893214286,152.194893214286,0,0,0
NUAA,W4,28,85,1715,force_z,Mean,89.7447288629738,89.7447288629738,0,0,0
NUAA,W5,1,86,1594,force_z,Mean,141.909127352572,141.909127352572,0,0,0
NUAA,W5,2,87,1556,force_z,Mean,80.0584820051414,80.0584820051414,0,0,0
NUAA,W5,3,88,1408,force_z,Mean,100.748796875,100.748796875,0,0,0
NUAA,W5,4,89,1513,force_z,Mean,171.954091870456,171.954091870456,0,0,0
NUAA,W5,5,90,1549,force_z,Mean,142.009730148483,142.009730148483,0,0,0
NUAA,W5,6,91,1346,force_z,Mean,85.7126933135215,85.7126933135215,0,0,0
NUAA,W5,7,92,951,force_z,Mean,174.778390115668,174.778390115668,0,0,0
NUAA,W6,1,93,1383,force_z,Mean,139.069071005061,139.069071005061,0,0,0
NUAA,W6,2,94,913,force_z,Mean,213.231048192771,213.231048192771,0,0,0
NUAA,W6,3,95,1388,force_z,Mean,170.840439048991,170.840439048991,0,0,0
NUAA,W6,4,96,1376,force_z,Mean,152.175209156977,152.175209156977,0,0,0
NUAA,W6,5,97,1354,force_z,Mean,207.402275332349,207.402275332349,0,0,0
NUAA,W6,6,98,1413,force_z,Mean,174.482576786978,174.482576786978,0,0,0
NUAA,W6,7,99,1113,force_z,Mean,205.306913566936,205.306913566936,0,0,0
NUAA,W6,8,100,1360,force_z,Mean,96.1242607352941,96.1242607352941,0,0,0
NUAA,W6,9,101,1391,force_z,Mean,143.806016534867,143.806016534867,0,0,0
NUAA,W6,10,102,1382,force_z,Mean,234.974230101303,234.974230101303,0,0,0
NUAA,W6,11,103,1362,force_z,Mean,183.039222760646,183.039222760646,0,0,0
NUAA,W6,12,104,1370,force_z,Mean,219.051919270073,219.051919270073,0,0,0
NUAA,W6,13,105,1353,force_z,Mean,227.353368810052,227.353368810052,0,0,0
NUAA,W6,14,106,1283,force_z,Mean,-0.939805144193298,-0.939805144193298,0,0,0
NUAA,W7,1,107,1106,force_z,Mean,88.8675379746836,88.8675379746836,0,0,0
NUAA,W7,2,108,1519,force_z,Mean,116.152041474654,116.152041474654,0,0,0
NUAA,W7,3,109,1556,force_z,Mean,155.042931876607,155.042931876607,0,0,0
NUAA,W7,4,110,1515,force_z,Mean,19.035502970297,19.035502970297,0,0,0
NUAA,W7,5,111,1605,force_z,Mean,61.1352280373832,61.1352280373832,0,0,0
NUAA,W7,6,112,1539,force_z,Mean,120.770685510071,120.770685510071,0,0,0
NUAA,W7,7,113,1559,force_z,Mean,90.6775330339961,90.6775330339961,0,0,0
NUAA,W7,8,114,1557,force_z,Mean,138.938328195247,138.938328195247,0,0,0
NUAA,W8,1,115,1502,force_z,Mean,166.465813581891,166.465813581891,0,0,0
NUAA,W8,2,116,1542,force_z,Mean,169.576638132296,169.576638132296,0,0,0
NUAA,W8,3,117,1516,force_z,Mean,166.131236147757,166.131236147757,0,0,0
NUAA,W8,4,118,1548,force_z,Mean,136.036968992248,136.036968992248,0,0,0
NUAA,W8,5,119,1501,force_z,Mean,13.2358667554963,13.2358667554963,0,0,0
NUAA,W8,6,120,1540,force_z,Mean,44.6304181818182,44.6304181818182,0,0,0
NUAA,W8,7,121,1505,force_z,Mean,122.49758538206,122.49758538206,0,0,0
NUAA,W8,8,122,1503,force_z,Mean,139.746882235529,139.746882235529,0,0,0
NUAA,W8,9,123,1472,force_z,Mean,132.908785326087,132.908785326087,0,0,0
NUAA,W8,10,124,1691,force_z,Mean,45.7255393258427,45.7255393258427,0,0,0
NUAA,W8,11,125,1694,force_z,Mean,110.643523612751,110.643523612751,0,0,0
NUAA,W8,12,126,1410,force_z,Mean,67.5385346099291,67.5385346099291,0,0,0
NUAA,W8,13,127,1692,force_z,Mean,55.1454109929078,55.1454109929078,0,0,0
NUAA,W8,14,128,1692,force_z,Mean,104.657488297872,104.657488297872,0,0,0
NUAA,W8,15,129,1677,force_z,Mean,71.8722968395945,71.8722968395945,0,0,0
NUAA,W8,16,130,1696,force_z,Mean,60.8216324292453,60.8216324292453,0,0,0
NUAA,W8,17,131,1692,force_z,Mean,137.829958628842,137.829958628842,0,0,0
NUAA,W8,18,132,1696,force_z,Mean,177.784377240566,177.784377240566,0,0,0
NUAA,W8,19,133,1666,force_z,Mean,-12.4505744297719,-12.4505744297719,0,0,0
NUAA,W8,20,134,1672,force_z,Mean,148.003599043062,148.003599043062,0,0,0
NUAA,W8,21,135,1648,force_z,Mean,89.5258070388349,89.5258070388349,0,0,0
NUAA,W8,22,136,1644,force_z,Mean,103.321258394161,103.321258394161,0,0,0
NUAA,W8,23,137,1653,force_z,Mean,124.920652752571,124.920652752571,0,0,0
NUAA,W8,24,138,1677,force_z,Mean,83.7577895050686,83.7577895050686,0,0,0
NUAA,W8,25,139,1691,force_z,Mean,127.567343228859,127.567343228859,0,0,0
NUAA,W8,26,140,1697,force_z,Mean,128.046773836182,128.046773836182,0,0,0
NUAA,W8,27,141,1690,force_z,Mean,126.976278106509,126.976278106509,0,0,0
NUAA,W8,28,142,1689,force_z,Mean,80.1285861456483,80.1285861456483,0,0,0
NUAA,W8,29,143,1692,force_z,Mean,81.131828605201,81.131828605201,0,0,0
NUAA,W8,30,144,1692,force_z,Mean,90.0227501182033,90.0227501182033,0,0,0
NUAA,W8,31,145,1696,force_z,Mean,101.5161125,101.5161125,0,0,0
NUAA,W9,1,146,1244,force_z,Mean,420.766250160772,420.766250160772,0,0,0
NUAA,W9,2,147,1304,force_z,Mean,187.118565184049,187.118565184049,0,0,0
NUAA,W9,3,148,1226,force_z,Mean,146.06516639478,146.06516639478,0,0,0
NUAA,W9,4,149,1201,force_z,Mean,220.162861781848,220.162861781848,0,0,0
NUAA,W9,5,150,1332,force_z,Mean,191.472581831832,191.472581831832,0,0,0
NUAA,W9,6,151,1140,force_z,Mean,261.282264912281,261.282264912281,0,0,0
NUAA,W9,7,152,1122,force_z,Mean,37.1280026737968,37.1280026737968,0,0,0
NUAA,W1,1,1,1576,force_z,RMS,307.612192810197,307.612192810197,0,0,0
NUAA,W1,2,2,1757,force_z,RMS,181.893050385863,181.893050385863,0,0,0
NUAA,W1,3,3,1773,force_z,RMS,260.857972444704,260.857972444704,0,0,0
NUAA,W1,4,4,1800,force_z,RMS,189.484919662958,189.484919662958,0,0,0
NUAA,W1,5,5,1679,force_z,RMS,279.866287675621,279.866287675621,0,0,0
NUAA,W1,6,6,1623,force_z,RMS,265.150116077083,265.150116077083,0,0,0
NUAA,W1,7,7,1737,force_z,RMS,252.619394508292,252.619394508292,0,0,0
NUAA,W1,8,8,1724,force_z,RMS,225.186002558748,225.186002558748,0,0,0
NUAA,W1,9,9,1697,force_z,RMS,235.74701178158,235.74701178158,0,0,0
NUAA,W1,10,10,1744,force_z,RMS,219.53643665542,219.53643665542,0,0,0
NUAA,W1,11,11,1714,force_z,RMS,222.290976922968,222.290976922968,0,0,0
NUAA,W1,12,12,1702,force_z,RMS,321.08878278433,321.08878278433,0,0,0
NUAA,W1,13,13,1712,force_z,RMS,262.619244849013,262.619244849013,0,0,0
NUAA,W1,14,14,1744,force_z,RMS,244.586475034845,244.586475034845,0,0,0
NUAA,W1,15,15,1751,force_z,RMS,239.470722047417,239.470722047417,0,0,0
NUAA,W1,16,16,1672,force_z,RMS,241.16323727028,241.16323727028,0,0,0
NUAA,W1,17,17,1705,force_z,RMS,201.254650850968,201.254650850968,0,0,0
NUAA,W1,18,18,1482,force_z,RMS,201.735462865055,201.735462865055,0,0,0
NUAA,W1,19,19,1669,force_z,RMS,194.858051497413,194.858051497413,0,0,0
NUAA,W1,20,20,1474,force_z,RMS,190.227606404925,190.227606404925,0,0,0
NUAA,W1,21,21,1287,force_z,RMS,247.085603907709,247.085603907709,0,0,0
NUAA,W1,22,22,582,force_z,RMS,281.977522268082,281.977522268082,0,0,0
NUAA,W1,23,23,784,force_z,RMS,187.319671253578,187.319671253578,0,0,0
NUAA,W1,24,24,1497,force_z,RMS,201.574962934216,201.574962934216,0,0,0
NUAA,W1,25,25,1392,force_z,RMS,191.369623716617,191.369623716617,0,0,0
NUAA,W1,26,26,991,force_z,RMS,314.682113117839,314.682113117839,0,0,0
NUAA,W1,27,27,997,force_z,RMS,280.742843935288,280.742843935288,0,0,0
NUAA,W1,28,28,1642,force_z,RMS,243.053741958564,243.053741958564,0,0,0
NUAA,W1,29,29,1122,force_z,RMS,294.487328334119,294.487328334119,0,0,0
NUAA,W2,1,30,1221,force_z,RMS,237.852232875348,237.852232875348,0,0,0
NUAA,W2,2,31,1013,force_z,RMS,235.763287563432,235.763287563432,0,0,0
NUAA,W2,3,32,1219,force_z,RMS,226.86437364878,226.86437364878,0,0,0
NUAA,W2,4,33,1527,force_z,RMS,236.336525951985,236.336525951985,0,0,0
NUAA,W2,5,34,1010,force_z,RMS,257.508910656784,257.508910656784,0,0,0
NUAA,W2,6,35,1693,force_z,RMS,306.748017521195,306.748017521195,0,0,0
NUAA,W2,7,36,1762,force_z,RMS,261.07303419265,261.07303419265,0,0,0
NUAA,W2,8,37,1711,force_z,RMS,246.483236141809,246.483236141809,0,0,0
NUAA,W2,9,38,1688,force_z,RMS,283.301774365611,283.301774365611,0,0,0
NUAA,W2,10,39,1732,force_z,RMS,289.347351370064,289.347351370064,0,0,0
NUAA,W2,11,40,1705,force_z,RMS,271.357943956746,271.357943956746,0,0,0
NUAA,W2,12,41,1760,force_z,RMS,197.263360983355,197.263360983355,0,0,0
NUAA,W2,13,42,1007,force_z,RMS,272.453707603154,272.453707603154,0,0,0
NUAA,W2,14,43,1724,force_z,RMS,197.564502628214,197.564502628214,0,0,0
NUAA,W2,15,44,1780,force_z,RMS,268.917382578461,268.917382578461,0,0,0
NUAA,W2,16,45,1754,force_z,RMS,184.541461761896,184.541461761896,0,0,0
NUAA,W2,17,46,1647,force_z,RMS,223.61358913528,223.61358913528,0,0,0
NUAA,W3,1,47,1750,force_z,RMS,234.939125376652,234.939125376652,0,0,0
NUAA,W3,2,48,1861,force_z,RMS,193.931160043923,193.931160043923,0,0,0
NUAA,W3,3,49,1827,force_z,RMS,220.239348338531,220.239348338531,0,0,0
NUAA,W3,4,50,1844,force_z,RMS,201.606169864198,201.606169864198,0,0,0
NUAA,W3,5,51,1783,force_z,RMS,220.743791547959,220.743791547959,0,0,0
NUAA,W3,6,52,1823,force_z,RMS,195.288961190399,195.288961190399,0,0,0
NUAA,W3,7,53,1758,force_z,RMS,206.142112473487,206.142112473487,0,0,0
NUAA,W3,8,54,1610,force_z,RMS,213.193928943295,213.193928943295,0,0,0
NUAA,W3,9,55,1718,force_z,RMS,264.084666110569,264.084666110569,0,0,0
NUAA,W3,10,56,1683,force_z,RMS,235.90703487371,235.90703487371,0,0,0
NUAA,W3,11,57,1751,force_z,RMS,214.318850818295,214.318850818295,0,0,0
NUAA,W4,1,58,1599,force_z,RMS,183.156560072261,183.156560072261,0,0,0
NUAA,W4,2,59,1601,force_z,RMS,278.168205622352,278.168205622352,0,0,0
NUAA,W4,3,60,1624,force_z,RMS,262.140917731383,262.140917731383,0,0,0
NUAA,W4,4,61,1685,force_z,RMS,246.408114439262,246.408114439262,0,0,0
NUAA,W4,5,62,1624,force_z,RMS,279.02858857349,279.02858857349,0,0,0
NUAA,W4,6,63,1689,force_z,RMS,237.174183428285,237.174183428285,0,0,0
NUAA,W4,7,64,1674,force_z,RMS,199.614912222892,199.614912222892,0,0,0
NUAA,W4,8,65,1405,force_z,RMS,189.930802812568,189.930802812568,0,0,0
NUAA,W4,9,66,1558,force_z,RMS,190.94995860927,190.94995860927,0,0,0
NUAA,W4,10,67,1684,force_z,RMS,184.497691541146,184.497691541146,0,0,0
NUAA,W4,11,68,1649,force_z,RMS,203.994640854013,203.994640854013,0,0,0
NUAA,W4,12,69,1643,force_z,RMS,204.498396229253,204.498396229253,0,0,0
NUAA,W4,13,70,1622,force_z,RMS,207.179465763633,207.179465763633,0,0,0
NUAA,W4,14,71,1628,force_z,RMS,198.184223454675,198.184223454675,0,0,0
NUAA,W4,15,72,1624,force_z,RMS,214.288031662022,214.288031662022,0,0,0
NUAA,W4,16,73,1659,force_z,RMS,238.812831747723,238.812831747723,0,0,0
NUAA,W4,17,74,1703,force_z,RMS,198.523148666166,198.523148666166,0,0,0
NUAA,W4,18,75,1729,force_z,RMS,208.908925923794,208.908925923794,0,0,0
NUAA,W4,19,76,1669,force_z,RMS,204.930264989224,204.930264989224,0,0,0
NUAA,W4,20,77,1639,force_z,RMS,243.1022961787,243.1022961787,0,0,0
NUAA,W4,21,78,1721,force_z,RMS,182.926677707402,182.926677707402,0,0,0
NUAA,W4,22,79,1656,force_z,RMS,198.992585478595,198.992585478595,0,0,0
NUAA,W4,23,80,1915,force_z,RMS,200.741598330454,200.741598330454,0,0,0
NUAA,W4,24,81,1641,force_z,RMS,253.221131179084,253.221131179084,0,0,0
NUAA,W4,25,82,1570,force_z,RMS,214.129275636567,214.129275636567,0,0,0
NUAA,W4,26,83,1647,force_z,RMS,243.684149708359,243.684149708359,0,0,0
NUAA,W4,27,84,1680,force_z,RMS,246.774303528232,246.774303528232,0,0,0
NUAA,W4,28,85,1715,force_z,RMS,215.161622073339,215.161622073339,0,0,0
NUAA,W5,1,86,1594,force_z,RMS,231.261529190753,231.261529190753,0,0,0
NUAA,W5,2,87,1556,force_z,RMS,208.703522584305,208.703522584305,0,0,0
NUAA,W5,3,88,1408,force_z,RMS,211.082724575055,211.082724575055,0,0,0
NUAA,W5,4,89,1513,force_z,RMS,255.299341939928,255.299341939928,0,0,0
NUAA,W5,5,90,1549,force_z,RMS,228.83032579032,228.83032579032,0,0,0
NUAA,W5,6,91,1346,force_z,RMS,204.624567331258,204.624567331258,0,0,0
NUAA,W5,7,92,951,force_z,RMS,252.916714505311,252.916714505311,0,0,0
NUAA,W6,1,93,1383,force_z,RMS,231.925623814231,231.925623814231,0,0,0
NUAA,W6,2,94,913,force_z,RMS,285.532182296006,285.532182296006,0,0,0
NUAA,W6,3,95,1388,force_z,RMS,249.25381331143,249.25381331143,0,0,0
NUAA,W6,4,96,1376,force_z,RMS,240.116526636418,240.116526636418,0,0,0
NUAA,W6,5,97,1354,force_z,RMS,277.080104764048,277.080104764048,0,0,0
NUAA,W6,6,98,1413,force_z,RMS,253.661520073939,253.661520073939,0,0,0
NUAA,W6,7,99,1113,force_z,RMS,272.469737422162,272.469737422162,0,0,0
NUAA,W6,8,100,1360,force_z,RMS,209.344200873492,209.344200873492,0,0,0
NUAA,W6,9,101,1391,force_z,RMS,234.063731724466,234.063731724466,0,0,0
NUAA,W6,10,102,1382,force_z,RMS,298.275499034785,298.275499034785,0,0,0
NUAA,W6,11,103,1362,force_z,RMS,259.239733542787,259.239733542787,0,0,0
NUAA,W6,12,104,1370,force_z,RMS,288.05881933458,288.05881933458,0,0,0
NUAA,W6,13,105,1353,force_z,RMS,292.498755507339,292.498755507339,0,0,0
NUAA,W6,14,106,1283,force_z,RMS,176.889939382775,176.889939382775,0,0,0
NUAA,W7,1,107,1106,force_z,RMS,212.109314533205,212.109314533205,0,0,0
NUAA,W7,2,108,1519,force_z,RMS,217.187698283609,217.187698283609,0,0,0
NUAA,W7,3,109,1556,force_z,RMS,240.257976736246,240.257976736246,0,0,0
NUAA,W7,4,110,1515,force_z,RMS,180.120610957106,180.120610957106,0,0,0
NUAA,W7,5,111,1605,force_z,RMS,192.65657269295,192.65657269295,0,0,0
NUAA,W7,6,112,1539,force_z,RMS,219.496119787892,219.496119787892,0,0,0
NUAA,W7,7,113,1559,force_z,RMS,199.228170073071,199.228170073071,0,0,0
NUAA,W7,8,114,1557,force_z,RMS,227.937071974354,227.937071974354,0,0,0
NUAA,W8,1,115,1502,force_z,RMS,244.287416585493,244.287416585493,0,0,0
NUAA,W8,2,116,1542,force_z,RMS,247.98355821096,247.98355821096,0,0,0
NUAA,W8,3,117,1516,force_z,RMS,244.874772666677,244.874772666677,0,0,0
NUAA,W8,4,118,1548,force_z,RMS,225.581829683803,225.581829683803,0,0,0
NUAA,W8,5,119,1501,force_z,RMS,182.013467097504,182.013467097504,0,0,0
NUAA,W8,6,120,1540,force_z,RMS,185.344019542387,185.344019542387,0,0,0
NUAA,W8,7,121,1505,force_z,RMS,212.278401804552,212.278401804552,0,0,0
NUAA,W8,8,122,1503,force_z,RMS,225.931100866628,225.931100866628,0,0,0
NUAA,W8,9,123,1472,force_z,RMS,224.827405947052,224.827405947052,0,0,0
NUAA,W8,10,124,1691,force_z,RMS,187.678575145308,187.678575145308,0,0,0
NUAA,W8,11,125,1694,force_z,RMS,209.619239983282,209.619239983282,0,0,0
NUAA,W8,12,126,1410,force_z,RMS,195.514040663936,195.514040663936,0,0,0
NUAA,W8,13,127,1692,force_z,RMS,184.464101870761,184.464101870761,0,0,0
NUAA,W8,14,128,1692,force_z,RMS,206.212144218054,206.212144218054,0,0,0
NUAA,W8,15,129,1677,force_z,RMS,191.032619217977,191.032619217977,0,0,0
NUAA,W8,16,130,1696,force_z,RMS,189.119360332132,189.119360332132,0,0,0
NUAA,W8,17,131,1692,force_z,RMS,232.328800431515,232.328800431515,0,0,0
NUAA,W8,18,132,1696,force_z,RMS,250.743536261538,250.743536261538,0,0,0
NUAA,W8,19,133,1666,force_z,RMS,174.445692874567,174.445692874567,0,0,0
NUAA,W8,20,134,1672,force_z,RMS,235.53437350642,235.53437350642,0,0,0
NUAA,W8,21,135,1648,force_z,RMS,201.924350305161,201.924350305161,0,0,0
NUAA,W8,22,136,1644,force_z,RMS,204.305582727232,204.305582727232,0,0,0
NUAA,W8,23,137,1653,force_z,RMS,219.343519252495,219.343519252495,0,0,0
NUAA,W8,24,138,1677,force_z,RMS,200.4454428668,200.4454428668,0,0,0
NUAA,W8,25,139,1691,force_z,RMS,223.603154435474,223.603154435474,0,0,0
NUAA,W8,26,140,1697,force_z,RMS,222.181731954897,222.181731954897,0,0,0
NUAA,W8,27,141,1690,force_z,RMS,222.602028364731,222.602028364731,0,0,0
NUAA,W8,28,142,1689,force_z,RMS,195.914337973201,195.914337973201,0,0,0
NUAA,W8,29,143,1692,force_z,RMS,198.838950363788,198.838950363788,0,0,0
NUAA,W8,30,144,1692,force_z,RMS,203.520960804671,203.520960804671,0,0,0
NUAA,W8,31,145,1696,force_z,RMS,206.652316311021,206.652316311021,0,0,0
NUAA,W9,1,146,1244,force_z,RMS,464.125923354288,464.125923354288,0,0,0
NUAA,W9,2,147,1304,force_z,RMS,265.879306642425,265.879306642425,0,0,0
NUAA,W9,3,148,1226,force_z,RMS,242.722838025844,242.722838025844,0,0,0
NUAA,W9,4,149,1201,force_z,RMS,299.312082527235,299.312082527235,0,0,0
NUAA,W9,5,150,1332,force_z,RMS,274.473148559239,274.473148559239,0,0,0
NUAA,W9,6,151,1140,force_z,RMS,325.181431378932,325.181431378932,0,0,0
NUAA,W9,7,152,1122,force_z,RMS,186.786664046131,186.786664046131,0,0,0
NUAA,W1,1,1,1576,force_z,Std,178.441266016751,178.441266016751,0,0,0
NUAA,W1,2,2,1757,force_z,Std,181.775604310636,181.775604310636,0,0,0
NUAA,W1,3,3,1773,force_z,Std,190.166291661881,190.166291661881,0,0,0
NUAA,W1,4,4,1800,force_z,Std,183.065548204888,183.065548204888,0,0,0
NUAA,W1,5,5,1679,force_z,Std,189.493094353703,189.493094353703,0,0,0
NUAA,W1,6,6,1623,force_z,Std,180.284225764081,180.284225764081,0,0,0
NUAA,W1,7,7,1737,force_z,Std,184.50946147669,184.50946147669,0,0,0
NUAA,W1,8,8,1724,force_z,Std,186.438875899542,186.438875899542,0,0,0
NUAA,W1,9,9,1697,force_z,Std,189.765738631814,189.765738631814,0,0,0
NUAA,W1,10,10,1744,force_z,Std,182.640816506962,182.640816506962,0,0,0
NUAA,W1,11,11,1714,force_z,Std,186.835237501005,186.835237501005,0,0,0
NUAA,W1,12,12,1702,force_z,Std,192.65761430333,192.65761430333,0,0,0
NUAA,W1,13,13,1712,force_z,Std,184.088238375274,184.088238375274,0,0,0
NUAA,W1,14,14,1744,force_z,Std,186.056667728849,186.056667728849,0,0,0
NUAA,W1,15,15,1751,force_z,Std,191.031721022953,191.031721022953,0,0,0
