OriginalIndex,CaseID,RunID,VB,Sensor,SignalMean,SignalStd,SignalMAD,ModeValue,ModeRatio,UpperRailRatio,LowerRailRatio,RailRatio
160,15,6,0.56,smcDC,9.55728298611111,0.411097834615796,0.23193359375,9.9951171875,0.119333333333333,0.119333333333333,0,0.119333333333333
56,9,4,0.19,smcDC,9.62158854166667,0.22137193116936,0.185546875,9.9951171875,0.0362222222222222,0.0362222222222222,0,0.0362222222222222
68,10,7,0.43,smcDC,9.43287217881944,0.49663590230309,0.22216796875,9.9951171875,0.034,0.034,0,0.034
94,11,23,0.76,AE_spindle,0.421096598307292,0.207118847444287,0.0543212890625,1.2493896484375,0.0315555555555556,0.0315555555555556,0,0.0315555555555556
159,15,5,0.48,smcDC,9.53414496527778,0.417726967270342,0.15625,9.9951171875,0.0182222222222222,0.0182222222222222,0,0.0182222222222222
71,10,10,0.7,AE_spindle,0.527156032986111,0.200535335286101,0.0946044921875,0.4119873046875,0.00444444444444444,0.00311111111111111,0,0.00311111111111111
43,3,14,0.36,vib_spindle,0.235376247829861,0.0088170438401663,0.00732421875,0.23193359375,0.052,0,0.000888888888888889,0.000888888888888889
106,12,12,0.45,smcDC,8.00101453993056,1.90724515813128,0.2880859375,8.935546875,0.00866666666666667,0,0.000444444444444444,0.000444444444444444
53,9,1,0,vib_table,2.32414876302083,0.229048505344795,0.17578125,2.48291015625,0.00711111111111111,0.000222222222222222,0,0.000222222222222222
106,12,12,0.45,vib_table,0.638482530381944,0.185032025977099,0.10498046875,0.50048828125,0.00866666666666667,0,0.000222222222222222,0.000222222222222222
106,12,12,0.45,vib_spindle,0.279384494357639,0.090045036868686,0.00732421875,0.2685546875,0.0468888888888889,0.000222222222222222,0,0.000222222222222222
115,5,6,0.74,smcAC,-0.137868923611111,4.18827939340221,4.18212890625,-5.91796875,0.00177777777777778,0.000222222222222222,0.000222222222222222,0.000222222222222222
117,7,1,0,AE_spindle,0.127267795138889,0.0118942459865624,0.0079345703125,0.133056640625,0.0235555555555556,0,0.000222222222222222,0.000222222222222222
127,8,3,0.3,AE_table,0.0186329481336806,0.000635502046627237,0.0006103515625,0.0189208984375,0.460888888888889,0,0.000222222222222222,0.000222222222222222
161,15,7,0.7,AE_table,0.268506808810764,0.0911742827552531,0.0494384765625,0.1959228515625,0.00666666666666667,0.000222222222222222,0,0.000222222222222222
1,1,1,0,smcAC,-0.160302191840278,1.81106130028412,1.70166015625,-2.14111328125,0.00177777777777778,0,0,0
1,1,1,0,smcDC,7.00556315104167,0.22201884339182,0.1513671875,6.9970703125,0.0126666666666667,0,0,0
1,1,1,0,vib_table,2.02224934895833,0.267162091856627,0.13916015625,2.05810546875,0.00755555555555556,0,0,0
1,1,1,0,vib_spindle,0.647536349826389,0.0783943338405337,0.0537109375,0.6396484375,0.00866666666666667,0,0,0
1,1,1,0,AE_table,0.198943413628472,0.0419226729260863,0.02471923828125,0.17578125,0.0113333333333333,0,0,0
1,1,1,0,AE_spindle,0.211184217664931,0.0395772728408834,0.02197265625,0.18798828125,0.0126666666666667,0,0,0
4,1,4,0.11,smcAC,-0.1541064453125,1.94394543004883,1.8359375,-2.16552734375,0.00177777777777778,0,0,0
4,1,4,0.11,smcDC,7.50755316840278,0.18559540926206,0.126953125,7.4951171875,0.0175555555555556,0,0,0
4,1,4,0.11,vib_table,1.79547092013889,0.228606972771903,0.12939453125,1.84814453125,0.00777777777777778,0,0,0
4,1,4,0.11,vib_spindle,0.586543511284722,0.0599545597387907,0.0390625,0.5615234375,0.0113333333333333,0,0,0
4,1,4,0.11,AE_table,0.216496175130208,0.0376782679161302,0.0238037109375,0.1959228515625,0.00955555555555555,0,0,0
4,1,4,0.11,AE_spindle,0.234024793836806,0.0450653531849445,0.0262451171875,0.2264404296875,0.01,0,0,0
6,1,6,0.2,smcAC,-0.152442491319444,2.39930316148812,2.314453125,-3.31298828125,0.00155555555555556,0,0,0
6,1,6,0.2,smcDC,9.25365125868056,0.20688338105753,0.1416015625,9.2041015625,0.0122222222222222,0,0,0
6,1,6,0.2,vib_table,1.13481174045139,0.100966005649464,0.07080078125,1.15478515625,0.0113333333333333,0,0,0
6,1,6,0.2,vib_spindle,0.523698187934028,0.0362363933901805,0.025634765625,0.5126953125,0.0155555555555556,0,0,0
6,1,6,0.2,AE_table,0.242853868272569,0.0355580065815295,0.0244140625,0.2349853515625,0.0102222222222222,0,0,0
6,1,6,0.2,AE_spindle,0.24094970703125,0.0316591611540757,0.0213623046875,0.228271484375,0.0102222222222222,0,0,0
7,1,7,0.24,smcAC,-0.145529513888889,2.47190208829138,2.412109375,-3.2373046875,0.00177777777777778,0,0,0
7,1,7,0.24,vib_table,1.87658365885417,0.255951870091489,0.17822265625,1.94580078125,0.00666666666666667,0,0,0
7,1,7,0.24,vib_spindle,0.441975911458333,0.0306834997658247,0.020751953125,0.4541015625,0.018,0,0,0
7,1,7,0.24,AE_table,0.219448513454861,0.0337737081697766,0.0213623046875,0.21484375,0.0104444444444444,0,0,0
7,1,7,0.24,AE_spindle,0.334112006293403,0.0493477689293042,0.03173828125,0.3094482421875,0.00911111111111111,0,0,0
8,1,8,0.29,smcAC,-0.192394748263889,2.6997119205249,2.646484375,-5,0.00288888888888889,0,0,0
8,1,8,0.29,vib_table,1.05302788628472,0.131868550867916,0.10009765625,1.0791015625,0.00911111111111111,0,0,0
8,1,8,0.29,vib_spindle,0.441995985243056,0.0320824565667389,0.023193359375,0.457763671875,0.0177777777777778,0,0,0
8,1,8,0.29,AE_table,0.281088595920139,0.0397314717053404,0.0262451171875,0.27587890625,0.00866666666666667,0,0,0
8,1,8,0.29,AE_spindle,0.2988330078125,0.0401976404597371,0.0262451171875,0.291748046875,0.00866666666666667,0,0,0
9,1,9,0.28,smcAC,-0.136595052083333,2.83503260380079,2.77587890625,-0.1513671875,0.002,0,0,0
9,1,9,0.28,vib_table,1.70299967447917,0.201089175844316,0.13916015625,1.640625,0.00711111111111111,0,0,0
9,1,9,0.28,vib_spindle,0.43962890625,0.0276408294513661,0.020751953125,0.43701171875,0.0206666666666667,0,0,0
9,1,9,0.28,AE_table,0.292715386284722,0.039517451700612,0.0262451171875,0.2886962890625,0.00866666666666667,0,0,0
9,1,9,0.28,AE_spindle,0.38656494140625,0.0551995572100065,0.03662109375,0.34423828125,0.00711111111111111,0,0,0
10,1,10,0.29,smcAC,-0.143949652777778,3.02368343589469,3.0029296875,3.515625,0.00266666666666667,0,0,0
10,1,10,0.29,vib_table,0.9511767578125,0.110324085485207,0.0732421875,0.99609375,0.0122222222222222,0,0,0
10,1,10,0.29,vib_spindle,0.406545952690972,0.0252774819080301,0.01708984375,0.41748046875,0.0224444444444444,0,0,0
10,1,10,0.29,AE_table,0.321966824001736,0.0415449487134448,0.02655029296875,0.31982421875,0.00866666666666667,0,0,0
10,1,10,0.29,AE_spindle,0.345486789279514,0.0445471542111467,0.0286865234375,0.3399658203125,0.00822222222222222,0,0,0
11,1,11,0.38,smcAC,-0.140822482638889,2.94906457385756,2.91748046875,3.330078125,0.00244444444444444,0,0,0
11,1,11,0.38,vib_table,0.859790581597222,0.0953483589021234,0.0634765625,0.82275390625,0.0126666666666667,0,0,0
11,1,11,0.38,vib_spindle,0.382866753472222,0.0236484389510566,0.015869140625,0.3759765625,0.0228888888888889,0,0,0
11,1,11,0.38,AE_table,0.313704291449653,0.0429753475986204,0.0286865234375,0.279541015625,0.00777777777777778,0,0,0
11,1,11,0.38,AE_spindle,0.428882649739583,0.0531649638653104,0.03570556640625,0.39794921875,0.00688888888888889,0,0,0
12,1,12,0.4,smcAC,-0.139462890625,3.21689457877158,3.212890625,4.091796875,0.00244444444444444,0,0,0
12,1,12,0.4,vib_table,1.39996039496528,0.17440069814906,0.11474609375,1.46240234375,0.00822222222222222,0,0,0
12,1,12,0.4,vib_spindle,0.481435818142361,0.0349831074204139,0.0244140625,0.4736328125,0.0191111111111111,0,0,0
12,1,12,0.4,AE_table,0.316429714626736,0.0546607226324576,0.035400390625,0.299072265625,0.00755555555555556,0,0,0
12,1,12,0.4,AE_spindle,0.391064724392361,0.0487060447924642,0.032958984375,0.360107421875,0.00666666666666667,0,0,0
13,1,13,0.43,smcAC,-0.149264322916667,3.21070671724285,3.212890625,4.23828125,0.00222222222222222,0,0,0
13,1,13,0.43,vib_table,1.07095486111111,0.115316382865171,0.072021484375,1.07177734375,0.0115555555555556,0,0,0
13,1,13,0.43,vib_spindle,0.393269314236111,0.0207773200500273,0.0146484375,0.390625,0.0257777777777778,0,0,0
13,1,13,0.43,AE_table,0.3325244140625,0.0472773994003703,0.0311279296875,0.3131103515625,0.00777777777777778,0,0,0
13,1,13,0.43,AE_spindle,0.391850043402778,0.0515603752651162,0.03326416015625,0.3759765625,0.00688888888888889,0,0,0
14,1,14,0.45,smcAC,-0.139569227430556,3.33029813614756,3.330078125,4.2333984375,0.00266666666666667,0,0,0
14,1,14,0.45,vib_table,1.20431803385417,0.135747718284475,0.0927734375,1.20361328125,0.0102222222222222,0,0,0
14,1,14,0.45,vib_spindle,0.403997395833333,0.0221058419194493,0.015869140625,0.41015625,0.0237777777777778,0,0,0
14,1,14,0.45,AE_table,0.352366536458333,0.0477446973753377,0.0323486328125,0.3399658203125,0.00777777777777778,0,0,0
14,1,14,0.45,AE_spindle,0.437388373480903,0.0538415072974468,0.0360107421875,0.41015625,0.00777777777777778,0,0,0
15,1,15,0.5,smcAC,-0.138108723958333,3.49105529695192,3.49609375,-4.8779296875,0.002,0,0,0
15,1,15,0.5,vib_table,0.826723090277778,0.0787912514845036,0.05615234375,0.859375,0.0144444444444444,0,0,0
15,1,15,0.5,vib_spindle,0.417392035590278,0.0237727290413739,0.01708984375,0.4150390625,0.0228888888888889,0,0,0
15,1,15,0.5,AE_table,0.367101915147569,0.0498732189803551,0.0335693359375,0.34423828125,0.00711111111111111,0,0,0
15,1,15,0.5,AE_spindle,0.455353054470486,0.0703763593540426,0.047607421875,0.421142578125,0.00577777777777778,0,0,0
17,1,17,0.44,smcAC,-0.142218967013889,3.45388655707242,3.4033203125,-0.1513671875,0.00222222222222222,0,0,0
17,1,17,0.44,vib_table,1.15747884114583,0.179263817503692,0.107421875,1.1474609375,0.00911111111111111,0,0,0
17,1,17,0.44,vib_spindle,0.412947591145833,0.0350892569854427,0.01953125,0.40283203125,0.0195555555555556,0,0,0
17,1,17,0.44,AE_table,0.336141628689236,0.0438255178996249,0.0299072265625,0.33203125,0.00822222222222222,0,0,0
17,1,17,0.44,AE_spindle,0.504675021701389,0.0772361088390119,0.052490234375,0.48828125,0.00555555555555556,0,0,0
18,2,1,0.08,smcAC,-0.169981553819444,1.36781391083211,1.3623046875,-1.81640625,0.00355555555555556,0,0,0
18,2,1,0.08,smcDC,5.42030924479167,0.0948702582308647,0.0634765625,5.46875,0.0237777777777778,0,0,0
18,2,1,0.08,vib_table,1.142470703125,0.119637700752457,0.078125,1.15478515625,0.0102222222222222,0,0,0
18,2,1,0.08,vib_spindle,0.624657931857639,0.0514723404497834,0.032958984375,0.60302734375,0.014,0,0,0
18,2,1,0.08,AE_table,0.179554985894097,0.0245771966972442,0.015869140625,0.16357421875,0.0128888888888889,0,0,0
18,2,1,0.08,AE_spindle,0.23984375,0.0351960181792696,0.0225830078125,0.247802734375,0.0106666666666667,0,0,0
19,2,2,0.14,smcAC,-0.172197265625,1.26357580801819,1.26708984375,-0.146484375,0.00466666666666667,0,0,0
19,2,2,0.14,smcDC,5.00478298611111,0.116428219655968,0.078125,4.9951171875,0.0208888888888889,0,0,0
19,2,2,0.14,vib_table,0.896088324652778,0.140528963086805,0.0830078125,0.92529296875,0.0117777777777778,0,0,0
19,2,2,0.14,vib_spindle,0.529309895833333,0.0531691131980474,0.030517578125,0.55419921875,0.0155555555555556,0,0,0
19,2,2,0.14,AE_table,0.18491943359375,0.0318200574612434,0.020751953125,0.1641845703125,0.0126666666666667,0,0,0
19,2,2,0.14,AE_spindle,0.244446478949653,0.0368440107511939,0.0225830078125,0.2276611328125,0.00933333333333333,0,0,0
20,2,3,0.14,smcAC,-0.176547309027778,1.27702535626149,1.2890625,1.396484375,0.00422222222222222,0,0,0
20,2,3,0.14,smcDC,5.06001627604167,0.0917056896544992,0.068359375,5.068359375,0.0226666666666667,0,0,0
20,2,3,0.14,vib_table,0.929907769097222,0.141354559455359,0.08544921875,0.92041015625,0.0111111111111111,0,0,0
20,2,3,0.14,vib_spindle,0.519902886284722,0.0482196560750438,0.028076171875,0.52734375,0.0166666666666667,0,0,0
20,2,3,0.14,AE_table,0.175426296657986,0.0272007140300799,0.01708984375,0.1611328125,0.0137777777777778,0,0,0
20,2,3,0.14,AE_spindle,0.237843424479167,0.0348938358549334,0.0225830078125,0.2288818359375,0.0106666666666667,0,0,0
21,2,4,0.14,smcAC,-0.166382378472222,1.36522229285497,1.35986328125,-0.1513671875,0.00377777777777778,0,0,0
21,2,4,0.14,smcDC,5.42663736979167,0.106582140526424,0.0732421875,5.46875,0.0224444444444444,0,0,0
21,2,4,0.14,vib_table,1.24476616753472,0.167646386627796,0.11474609375,1.25,0.00866666666666667,0,0,0
21,2,4,0.14,vib_spindle,0.413672146267361,0.0316876509887206,0.01953125,0.40771484375,0.0211111111111111,0,0,0
21,2,4,0.14,AE_table,0.164276936848958,0.0229899749807833,0.0140380859375,0.1519775390625,0.0148888888888889,0,0,0
21,2,4,0.14,AE_spindle,0.224860975477431,0.0291825733416776,0.0189208984375,0.21240234375,0.012,0,0,0
22,2,5,0.15,smcAC,-0.167264539930556,1.4711422788061,1.474609375,-0.1513671875,0.00355555555555556,0,0,0
22,2,5,0.15,smcDC,5.82507595486111,0.109236270153984,0.078125,5.830078125,0.0191111111111111,0,0,0
22,2,5,0.15,vib_table,1.20015190972222,0.185020697845092,0.1416015625,1.328125,0.00777777777777778,0,0,0
22,2,5,0.15,vib_spindle,0.339761555989583,0.0151609739298818,0.009765625,0.3369140625,0.036,0,0,0
22,2,5,0.15,AE_table,0.101637912326389,0.0710017186108251,0.040283203125,0.018310546875,0.313777777777778,0,0,0
22,2,5,0.15,AE_spindle,0.223517252604167,0.025435310468471,0.0164794921875,0.21484375,0.0151111111111111,0,0,0
24,2,7,0.18,smcAC,-0.161055772569444,1.56477502340041,1.57470703125,-2.0458984375,0.00222222222222222,0,0,0
24,2,7,0.18,smcDC,6.24658637152778,0.0963429462725654,0.0732421875,6.2890625,0.0217777777777778,0,0,0
24,2,7,0.18,vib_table,0.872668728298611,0.119907962115081,0.09033203125,0.7763671875,0.0113333333333333,0,0,0
24,2,7,0.18,vib_spindle,0.319870876736111,0.015195718030932,0.009765625,0.3125,0.0395555555555556,0,0,0
24,2,7,0.18,AE_table,0.184994710286458,0.021586215151987,0.0140380859375,0.181884765625,0.0151111111111111,0,0,0
24,2,7,0.18,AE_spindle,0.207531331380208,0.0226799064783521,0.0146484375,0.196533203125,0.014,0,0,0
25,2,8,0.22,smcAC,-0.162068684895833,1.69949576377498,1.685791015625,-0.1513671875,0.00288888888888889,0,0,0
25,2,8,0.22,smcDC,6.72440863715278,0.118699607529487,0.0830078125,6.796875,0.0193333333333333,0,0,0
25,2,8,0.22,vib_table,1.02468804253472,0.197181458424705,0.1318359375,1.09619140625,0.008,0,0,0
25,2,8,0.22,vib_spindle,0.314358723958333,0.0169418398563502,0.009765625,0.3125,0.0362222222222222,0,0,0
25,2,8,0.22,AE_table,0.196377495659722,0.0236227960092592,0.015869140625,0.1885986328125,0.0131111111111111,0,0,0
25,2,8,0.22,AE_spindle,0.239183892144097,0.0307560725095388,0.020751953125,0.225830078125,0.0102222222222222,0,0,0
26,2,9,0.26,smcAC,-0.154914279513889,1.90743827122522,1.90185546875,-0.14892578125,0.002,0,0,0
26,2,9,0.26,smcDC,7.55459418402778,0.129531781101288,0.078125,7.578125,0.0228888888888889,0,0,0
26,2,9,0.26,vib_table,0.958336588541667,0.189436786426534,0.126953125,1.03759765625,0.00777777777777778,0,0,0
26,2,9,0.26,vib_spindle,0.298643120659722,0.0187898140017196,0.010986328125,0.29541015625,0.0344444444444444,0,0,0
26,2,9,0.26,AE_table,0.203207058376736,0.0250173397840319,0.0164794921875,0.18798828125,0.0126666666666667,0,0,0
26,2,9,0.26,AE_spindle,0.304410807291667,0.04717542598313,0.03173828125,0.299072265625,0.00777777777777778,0,0,0
27,2,10,0.31,smcAC,-0.152796766493056,1.96777680790539,1.90673828125,-2.265625,0.002,0,0,0
27,2,10,0.31,smcDC,7.81466905381944,0.631971558926121,0.1611328125,8.1640625,0.0122222222222222,0,0,0
27,2,10,0.31,vib_table,0.9251025390625,0.187388665592576,0.1171875,0.9033203125,0.00844444444444444,0,0,0
27,2,10,0.31,vib_spindle,0.353025987413194,0.026241458706556,0.01953125,0.33203125,0.0197777777777778,0,0,0
27,2,10,0.31,AE_table,0.223197835286458,0.0299547211338001,0.020751953125,0.21728515625,0.0113333333333333,0,0,0
27,2,10,0.31,AE_spindle,0.325795491536458,0.0488840896567419,0.0323486328125,0.33203125,0.008,0,0,0
28,2,11,0.38,smcAC,-0.155174696180556,2.22969179136192,2.235107421875,2.548828125,0.00244444444444444,0,0,0
28,2,11,0.38,smcDC,8.86982096354167,0.139956727634301,0.09765625,8.9306640625,0.0197777777777778,0,0,0
28,2,11,0.38,vib_table,0.613465169270833,0.124573400518524,0.08056640625,0.625,0.0128888888888889,0,0,0
28,2,11,0.38,vib_spindle,0.349251302083333,0.0283387909020958,0.01953125,0.3515625,0.0226666666666667,0,0,0
28,2,11,0.38,AE_table,0.239298366970486,0.0318592261736303,0.0213623046875,0.2294921875,0.0106666666666667,0,0,0
28,2,11,0.38,AE_spindle,0.374107937282986,0.056240182221497,0.0372314453125,0.3369140625,0.00711111111111111,0,0,0
29,2,12,0.43,smcAC,-0.157384440104167,2.26233381054972,2.2412109375,-2.822265625,0.002,0,0,0
29,2,12,0.43,smcDC,8.976708984375,0.261020525885268,0.2099609375,9.2041015625,0.012,0,0,0
29,2,12,0.43,vib_table,0.871218532986111,0.181363322162409,0.11962890625,0.8935546875,0.00866666666666667,0,0,0
29,2,12,0.43,vib_spindle,0.328521592881944,0.0227369569665385,0.015869140625,0.322265625,0.0237777777777778,0,0,0
29,2,12,0.43,AE_table,0.257587619357639,0.0348631974260784,0.023193359375,0.2490234375,0.00977777777777778,0,0,0
29,2,12,0.43,AE_spindle,0.401196695963542,0.0754155628704033,0.052490234375,0.3643798828125,0.00533333333333333,0,0,0
30,2,13,0.48,smcAC,-0.151603190104167,2.5021102618789,2.4951171875,-3.4716796875,0.002,0,0,0
30,2,13,0.48,vib_table,0.567127278645833,0.114349683413763,0.06591796875,0.55908203125,0.0137777777777778,0,0,0
30,2,13,0.48,vib_spindle,0.285182020399306,0.0128020273796632,0.00732421875,0.283203125,0.0522222222222222,0,0,0
30,2,13,0.48,AE_table,0.281696099175347,0.0364730029446499,0.0238037109375,0.279541015625,0.0115555555555556,0,0,0
30,2,13,0.48,AE_spindle,0.458456759982639,0.0772448586294029,0.05126953125,0.419921875,0.00577777777777778,0,0,0
31,2,14,0.55,smcAC,-0.152667100694444,2.47979750999445,2.432861328125,-3.3837890625,0.00222222222222222,0,0,0
31,2,14,0.55,vib_table,0.525586480034722,0.113102668030131,0.06591796875,0.5078125,0.0155555555555556,0,0,0
31,2,14,0.55,vib_spindle,0.27704833984375,0.0118258760007006,0.006103515625,0.2734375,0.0524444444444444,0,0,0
31,2,14,0.55,AE_table,0.294849310980903,0.0453102063863628,0.0299072265625,0.2960205078125,0.00866666666666667,0,0,0
31,2,14,0.55,AE_spindle,0.421302490234375,0.0774680082982193,0.0506591796875,0.367431640625,0.00511111111111111,0,0,0
32,3,1,0,smcAC,-0.182081705729167,0.903904274382791,0.85205078125,-1.201171875,0.00288888888888889,0,0,0
32,3,1,0,smcDC,3.58649522569444,0.102294293539809,0.068359375,3.59375,0.0217777777777778,0,0,0
32,3,1,0,vib_table,1.22429307725694,0.571222612427773,0.556640625,1.86279296875,0.00555555555555556,0,0,0
32,3,1,0,vib_spindle,0.28505615234375,0.0122218034556449,0.008544921875,0.2783203125,0.0448888888888889,0,0,0
32,3,1,0,AE_table,0.137913140190972,0.0204967840150675,0.0128173828125,0.130615234375,0.0177777777777778,0,0,0
32,3,1,0,AE_spindle,0.183704833984375,0.0387446881091587,0.028076171875,0.1519775390625,0.00955555555555555,0,0,0
33,3,2,0.13,smcAC,-0.170925021701389,0.925040520460542,0.87158203125,0.771484375,0.00355555555555556,0,0,0
33,3,2,0.13,smcDC,3.66148003472222,0.158011723293386,0.087890625,3.7451171875,0.0211111111111111,0,0,0
33,3,2,0.13,vib_table,0.992625868055556,0.453191613468319,0.41015625,0.43212890625,0.00422222222222222,0,0,0
33,3,2,0.13,vib_spindle,0.292518988715278,0.013934794526121,0.008544921875,0.283203125,0.0411111111111111,0,0,0
33,3,2,0.13,AE_table,0.142634819878472,0.0228902832523304,0.0152587890625,0.123291015625,0.0144444444444444,0,0,0
33,3,2,0.13,AE_spindle,0.174427354600694,0.0282783113310292,0.020751953125,0.15625,0.0115555555555556,0,0,0
34,3,3,0.13,smcAC,-0.1754541015625,1.00565842375669,0.953369140625,-0.15380859375,0.00333333333333333,0,0,0
34,3,3,0.13,smcDC,3.96589518229167,0.221039092058216,0.107421875,4.0966796875,0.0177777777777778,0,0,0
34,3,3,0.13,vib_table,0.873056640625,0.330373297388397,0.24658203125,1.19140625,0.00755555555555556,0,0,0
34,3,3,0.13,vib_spindle,0.287591417100694,0.0122611291877259,0.00732421875,0.28564453125,0.0564444444444444,0,0,0
34,3,3,0.13,AE_table,0.148336452907986,0.0218700539316406,0.015869140625,0.1348876953125,0.0133333333333333,0,0,0
34,3,3,0.13,AE_spindle,0.186588134765625,0.0307819811650967,0.02532958984375,0.206298828125,0.00955555555555555,0,0,0
35,3,5,0.17,smcAC,-0.158841688368056,1.07915393111886,1.025390625,-0.13916015625,0.00355555555555556,0,0,0
35,3,5,0.17,smcDC,4.29019856770833,0.158119788007699,0.0830078125,4.365234375,0.0197777777777778,0,0,0
35,3,5,0.17,vib_table,0.884239366319444,0.314220194837375,0.234375,0.44189453125,0.006,0,0,0
35,3,5,0.17,vib_spindle,0.329637044270833,0.010907120494817,0.00732421875,0.3271484375,0.0506666666666667,0,0,0
35,3,5,0.17,AE_table,0.162556287977431,0.0250987192060043,0.015869140625,0.157470703125,0.0131111111111111,0,0,0
35,3,5,0.17,AE_spindle,0.203896213107639,0.0335275091696101,0.0250244140625,0.2008056640625,0.00866666666666667,0,0,0
36,3,6,0.19,smcAC,-0.160480143229167,1.14844770217334,1.08642578125,-0.14404296875,0.00288888888888889,0,0,0
36,3,6,0.19,smcDC,4.56006618923611,0.127029436742527,0.0830078125,4.6337890625,0.0193333333333333,0,0,0
36,3,6,0.19,vib_table,1.04552300347222,0.310085593277803,0.27587890625,1.2255859375,0.006,0,0,0
36,3,6,0.19,vib_spindle,0.326748860677083,0.0122604316308571,0.00732421875,0.32470703125,0.0473333333333333,0,0,0
36,3,6,0.19,AE_table,0.159769422743056,0.0213164224865373,0.0146484375,0.166015625,0.0151111111111111,0,0,0
36,3,6,0.19,AE_spindle,0.224304741753472,0.0393095479749474,0.030517578125,0.2264404296875,0.00733333333333333,0,0,0
37,3,7,0.2,smcAC,-0.166364474826389,1.13959478297302,1.11083984375,-0.14404296875,0.00266666666666667,0,0,0
37,3,7,0.2,smcDC,4.51600151909722,0.175729193242916,0.1025390625,4.53125,0.0175555555555556,0,0,0
37,3,7,0.2,vib_table,0.795830620659722,0.272556386511913,0.16845703125,0.576171875,0.00866666666666667,0,0,0
37,3,7,0.2,vib_spindle,0.313661295572917,0.0129935633079256,0.008544921875,0.3125,0.044,0,0,0
37,3,7,0.2,AE_table,0.170738525390625,0.0246285680595674,0.0164794921875,0.166015625,0.0124444444444444,0,0,0
37,3,7,0.2,AE_spindle,0.217716471354167,0.0289362497246862,0.0201416015625,0.206298828125,0.0115555555555556,0,0,0
