Feature,Minimum,Maximum,StandardDeviation
vib_spindle_Mean,0.235376247829861,0.647536349826389,0.0689442177948764
vib_spindle_RMS,0.235541293681023,0.65226346687515,0.069399034722392
vib_spindle_Std,0.00858593274847426,0.090045036868686,0.0117767804194264
vib_spindle_PeakToPeak,0.047607421875,1.953125,0.242863697881211
vib_spindle_Skewness,-0.785232023899828,34.7380324871144,5.60517071497007
vib_spindle_Kurtosis,2.40090058026895,1675.55913650591,241.816224731026
vib_spindle_CrestFactor,2.70534981817041,51.6776723416616,9.05957128806545
vib_spindle_MeanFrequency,22.4217714588062,59.9430675933997,6.66644749748865
vib_spindle_MedianFrequency,0.48828125,80.810546875,12.7825718200477
vib_spindle_SpectralEntropy,0.549296569930247,0.952828021904369,0.0829057242622195
vib_spindle_LowBandRatio,0.101585087734623,0.701705317292715,0.129190743939133
vib_spindle_MidBandRatio,0.135364648497263,0.631798133046586,0.0909000537136796
vib_spindle_HighBandRatio,0.127531122157418,0.586848693393268,0.0756719278568748
AE_table_Mean,0.0186329481336806,0.38906494140625,0.066255443300245
AE_table_RMS,0.0186437799079585,0.39292359637261,0.0669756176591084
AE_table_Std,0.000480571123028388,0.0911742827552531,0.0143474775134004
AE_table_PeakToPeak,0.00732421875,0.595703125,0.0944582252747892
AE_table_Skewness,-2.00085700429931,2.28255871101311,0.46151414310305
AE_table_Kurtosis,2.46052430765932,14.3090373418695,1.77777096582787
AE_table_CrestFactor,3.11075083470248,10.1125230350416,1.04223514156411
AE_table_MeanFrequency,6.34978267895917,65.9630350127273,9.02635327385737
AE_table_MedianFrequency,0.244140625,80.56640625,18.0934594413021
AE_table_SpectralEntropy,0.393038750606934,0.9227248497583,0.0882327630830455
AE_table_LowBandRatio,0.121883319704054,0.887706833728966,0.121754168131818
AE_table_MidBandRatio,0.0748147189203703,0.647562046060192,0.106343579296068
AE_table_HighBandRatio,0.0374784473506642,0.706025848901476,0.140464012350787
AE_spindle_Mean,0.127267795138889,0.527156032986111,0.0822985733631169
AE_spindle_RMS,0.127822272427927,0.564002630555949,0.0847023990858442
AE_spindle_Std,0.0118942459865624,0.207118847444287,0.0254347393859457
AE_spindle_PeakToPeak,0.08544921875,1.0467529296875,0.147100177009585
AE_spindle_Skewness,-0.137905059158436,3.25491379134647,0.45764126462586
AE_spindle_Kurtosis,2.11999960905524,18.3565840528753,1.94466402871182
AE_spindle_CrestFactor,3.02071104639835,9.27038868784333,0.998675364769844
AE_spindle_MeanFrequency,9.98811331220895,66.8667436033574,10.3773748175044
AE_spindle_MedianFrequency,0.244140625,81.298828125,18.6372254266288
AE_spindle_SpectralEntropy,0.451823399081267,0.872049123203023,0.0897995905674675
AE_spindle_LowBandRatio,0.085993370582582,0.834647090380693,0.153883931994558
AE_spindle_MidBandRatio,0.0947925792026889,0.722022017608976,0.146459279204587
AE_spindle_HighBandRatio,0.043416522021656,0.692689741602921,0.152209875996625
