OriginalIndex,CaseID,RunID,ActualVB,PredMean,PredProcess,PredSensorRidge,PredCombinedRidge,DOC,Feed,Material,Residual,AbsoluteError
111,5,2,0.16,0.336642857142857,0.447596132217746,0.387384705824298,0.368681770481633,1.5,0.5,2,0.208681770481633,0.208681770481633
121,7,5,0.24,0.343956834532374,0.495328220541851,0.429939755701625,0.445504595295298,0.75,0.25,2,0.205504595295298,0.205504595295298
53,9,1,0,0.337883211678832,0.267547461544702,0.234833754001925,0.201444496692587,1.5,0.5,1,0.201444496692587,0.201444496692587
93,11,22,0.68,0.345714285714286,0.301143556791834,0.469970206612247,0.484713591021674,0.75,0.25,1,-0.195286408978326,0.195286408978326
130,8,6,0.62,0.338652482269504,0.462166905115297,0.41227371783113,0.425296836852935,0.75,0.5,2,-0.194703163147065,0.194703163147065
123,7,7,0.46,0.343956834532374,0.495328220541851,0.25353255455226,0.28130665336611,0.75,0.25,2,-0.17869334663389,0.17869334663389
56,9,4,0.19,0.337883211678832,0.267547461544702,0.389707242708575,0.364238887145395,1.5,0.5,1,0.174238887145395,0.174238887145395
137,13,7,0.38,0.306842105263158,0.315129327177594,0.20890977912522,0.206399731736016,0.75,0.25,2,-0.173600268263984,0.173600268263984
138,13,8,0.49,0.306842105263158,0.315129327177594,0.308470303562734,0.320768217218982,0.75,0.25,2,-0.169231782781018,0.169231782781018
125,8,1,0,0.338652482269504,0.462166905115297,0.162821139688004,0.167537569499922,0.75,0.5,2,0.167537569499922,0.167537569499922
114,5,5,0.53,0.336642857142857,0.447596132217746,0.706138793087214,0.696742428803412,1.5,0.5,2,0.166742428803412,0.166742428803412
119,7,3,0.13,0.343956834532374,0.495328220541851,0.29130423058498,0.296673318647259,0.75,0.25,2,0.166673318647259,0.166673318647259
91,11,20,0.57,0.345714285714286,0.301143556791834,0.391401307797444,0.405231848373747,0.75,0.25,1,-0.164768151626253,0.164768151626253
55,9,3,0.14,0.337883211678832,0.267547461544702,0.333909141866854,0.303194559596063,1.5,0.5,1,0.163194559596063,0.163194559596063
61,9,9,0.81,0.337883211678832,0.267547461544702,0.664900777804027,0.652671648662881,1.5,0.5,1,-0.157328351337119,0.157328351337119
112,5,3,0.29,0.336642857142857,0.447596132217746,0.46775751291209,0.442694985276089,1.5,0.5,2,0.152694985276089,0.152694985276089
10,1,10,0.29,0.340451127819549,0.269906316852628,0.437025447422326,0.427891600378402,1.5,0.5,1,0.137891600378402,0.137891600378402
57,9,5,0.27,0.337883211678832,0.267547461544702,0.41907341502008,0.398117570348655,1.5,0.5,1,0.128117570348655,0.128117570348655
116,6,1,0,0.339931034482759,0.449316860374514,0.153262950655877,0.12726503831449,1.5,0.25,2,0.12726503831449,0.12726503831449
54,9,2,0.1,0.337883211678832,0.267547461544702,0.262681823703615,0.224265448984798,1.5,0.5,1,0.124265448984798,0.124265448984798
32,3,1,0,0.346893939393939,0.312708696295113,0.119190922215133,0.124022310078345,0.75,0.25,1,0.124022310078345,0.124022310078345
62,10,1,0,0.340220588235294,0.280029605156577,0.139927360622765,0.117810717605364,1.5,0.25,1,0.117810717605364,0.117810717605364
108,12,14,0.58,0.339850746268657,0.282996199741186,0.469332356479277,0.466421807407797,0.75,0.5,1,-0.113578192592203,0.113578192592203
64,10,3,0.08,0.340220588235294,0.280029605156577,0.213454528197841,0.193117387694118,1.5,0.25,1,0.113117387694118,0.113117387694118
52,4,7,0.49,0.340503597122302,0.288408644982061,0.39249763482846,0.377544280314556,1.5,0.25,1,-0.112455719685444,0.112455719685444
152,14,8,0.6,0.330143884892086,0.419235903547031,0.465477320430617,0.487907057988352,0.75,0.5,2,-0.112092942011648,0.112092942011648
66,10,5,0.25,0.340220588235294,0.280029605156577,0.381126375427587,0.360080929202087,1.5,0.25,1,0.110080929202087,0.110080929202087
107,12,13,0.49,0.339850746268657,0.282996199741186,0.382425384182807,0.381911293098336,0.75,0.5,1,-0.108088706901664,0.108088706901664
9,1,9,0.28,0.340451127819549,0.269906316852628,0.393915661608948,0.387091230005929,1.5,0.5,1,0.107091230005929,0.107091230005929
129,8,5,0.44,0.338652482269504,0.462166905115297,0.321811311995729,0.332982370816813,0.75,0.5,2,-0.107017629183187,0.107017629183187
72,11,1,0,0.345714285714286,0.301143556791834,0.0956369116432892,0.106610733878097,0.75,0.25,1,0.106610733878097,0.106610733878097
117,7,1,0,0.343956834532374,0.495328220541851,0.0847429791880017,0.101033247433246,0.75,0.25,2,0.101033247433246,0.101033247433246
166,16,5,0.4,0.335874125874126,0.427586574116729,0.504006131587102,0.500949440542774,1.5,0.5,2,0.100949440542774,0.100949440542774
1,1,1,0,0.340451127819549,0.269906316852628,0.111486925953024,0.100834047592223,1.5,0.5,1,0.100834047592223,0.100834047592223
63,10,2,0.04,0.340220588235294,0.280029605156577,0.162233073843859,0.140625550162363,1.5,0.25,1,0.100625550162363,0.100625550162363
39,3,9,0.23,0.346893939393939,0.312708696295113,0.326022104974362,0.330359379418953,0.75,0.25,1,0.100359379418953,0.100359379418953
87,11,16,0.37,0.345714285714286,0.301143556791834,0.265823079945454,0.270891400217899,0.75,0.25,1,-0.0991085997821012,0.0991085997821012
147,14,2,0.09,0.330143884892086,0.419235903547031,0.172725918614553,0.183378420431887,0.75,0.5,2,0.0933784204318873,0.0933784204318873
50,4,5,0.35,0.340503597122302,0.288408644982061,0.28038666047532,0.257354817792105,1.5,0.25,1,-0.0926451822078954,0.0926451822078954
65,10,4,0.16,0.340220588235294,0.280029605156577,0.272614778150245,0.251601544076768,1.5,0.25,1,0.091601544076768,0.091601544076768
24,2,7,0.18,0.344586466165414,0.303473898154421,0.274257453457529,0.271129127953259,0.75,0.5,1,0.0911291279532589,0.0911291279532589
43,3,14,0.36,0.346893939393939,0.312708696295113,0.435160980284238,0.448693280336232,0.75,0.25,1,0.0886932803362318,0.0886932803362318
25,2,8,0.22,0.344586466165414,0.303473898154421,0.311368325474106,0.30851622471704,0.75,0.5,1,0.0885162247170401,0.0885162247170401
26,2,9,0.26,0.344586466165414,0.303473898154421,0.348689084314369,0.346844391080563,0.75,0.5,1,0.0868443910805629,0.0868443910805629
89,11,18,0.42,0.345714285714286,0.301143556791834,0.322698146720035,0.333514480238279,0.75,0.25,1,-0.0864855197617212,0.0864855197617212
73,11,2,0.04,0.345714285714286,0.301143556791834,0.117242457196139,0.125913554559403,0.75,0.25,1,0.0859135545594032,0.0859135545594032
60,9,8,0.64,0.337883211678832,0.267547461544702,0.568802191253607,0.554755360597049,1.5,0.5,1,-0.0852446394029513,0.0852446394029513
161,15,7,0.7,0.333928571428571,0.432788019218239,0.635914972379688,0.785043664023822,1.5,0.25,2,0.0850436640238224,0.0850436640238224
58,9,6,0.38,0.337883211678832,0.267547461544702,0.482747372816649,0.463227178014071,1.5,0.5,1,0.0832271780140713,0.0832271780140713
151,14,6,0.35,0.330143884892086,0.419235903547031,0.423552470075836,0.431572346089591,0.75,0.5,2,0.0815723460895909,0.0815723460895909
120,7,4,0.22,0.343956834532374,0.495328220541851,0.294135367713763,0.301417352009547,0.75,0.25,2,0.0814173520095474,0.0814173520095474
67,10,6,0.36,0.340220588235294,0.280029605156577,0.460216995327659,0.440821002927777,1.5,0.25,1,0.0808210029277766,0.0808210029277766
106,12,12,0.45,0.339850746268657,0.282996199741186,0.355550426517725,0.370441436275075,0.75,0.5,1,-0.0795585637249248,0.0795585637249248
41,3,11,0.28,0.346893939393939,0.312708696295113,0.347547931823988,0.359548388347365,0.75,0.25,1,0.0795483883473649,0.0795483883473649
18,2,1,0.08,0.344586466165414,0.303473898154421,0.157214070002741,0.158939947359176,0.75,0.5,1,0.078939947359176,0.078939947359176
79,11,8,0.12,0.345714285714286,0.301143556791834,0.191158087436531,0.198608037756089,0.75,0.25,1,0.0786080377560886,0.0786080377560886
59,9,7,0.47,0.337883211678832,0.267547461544702,0.562651436965217,0.547473192814366,1.5,0.5,1,0.0774731928143664,0.0774731928143664
22,2,5,0.15,0.344586466165414,0.303473898154421,0.229421076120206,0.227375538916366,0.75,0.5,1,0.0773755389163664,0.0773755389163664
49,4,4,0.31,0.340503597122302,0.288408644982061,0.257905394964706,0.235360627689743,1.5,0.25,1,-0.0746393723102565,0.0746393723102565
77,11,6,0.09,0.345714285714286,0.301143556791834,0.149123453973176,0.164434384216119,0.75,0.25,1,0.0744343842161188,0.0744343842161188
75,11,4,0.07,0.345714285714286,0.301143556791834,0.12977697616284,0.141255848844338,0.75,0.25,1,0.0712558488443382,0.0712558488443382
76,11,5,0.08,0.345714285714286,0.301143556791834,0.134502239237101,0.150371581359043,0.75,0.25,1,0.0703715813590427,0.0703715813590427
69,10,8,0.47,0.340220588235294,0.280029605156577,0.551840537365953,0.53762024244253,1.5,0.25,1,0.0676202424425304,0.0676202424425304
68,10,7,0.43,0.340220588235294,0.280029605156577,0.516369559325594,0.497106401421034,1.5,0.25,1,0.0671064014210341,0.0671064014210341
4,1,4,0.11,0.340451127819549,0.269906316852628,0.188598406412627,0.176889092647364,1.5,0.5,1,0.0668890926473639,0.0668890926473639
36,3,6,0.19,0.346893939393939,0.312708696295113,0.109301014149749,0.123215037450858,0.75,0.25,1,-0.0667849625491421,0.0667849625491421
133,13,3,0.1,0.306842105263158,0.315129327177594,0.200210033843957,0.165586891829334,0.75,0.25,2,0.0655868918293343,0.0655868918293343
74,11,3,0.07,0.345714285714286,0.301143556791834,0.12676313939728,0.134962499596064,0.75,0.25,1,0.0649624995960641,0.0649624995960641
21,2,4,0.14,0.344586466165414,0.303473898154421,0.204989588186931,0.203715854375742,0.75,0.5,1,0.0637158543757423,0.0637158543757423
122,7,6,0.34,0.343956834532374,0.495328220541851,0.387158774518081,0.403371720452958,0.75,0.25,2,0.0633717204529577,0.0633717204529577
115,5,6,0.74,0.336642857142857,0.447596132217746,0.801666992554714,0.803049801938593,1.5,0.5,2,0.0630498019385933,0.0630498019385933
126,8,2,0.18,0.338652482269504,0.462166905115297,0.232413621641424,0.240515213041338,0.75,0.5,2,0.0605152130413384,0.0605152130413384
42,3,12,0.33,0.346893939393939,0.312708696295113,0.374668750052118,0.39049968242922,0.75,0.25,1,0.0604996824292199,0.0604996824292199
118,7,2,0.09,0.343956834532374,0.495328220541851,0.135815379769494,0.150094090074275,0.75,0.25,2,0.0600940900742749,0.0600940900742749
105,12,11,0.4,0.339850746268657,0.282996199741186,0.335439429975245,0.341415817924753,0.75,0.5,1,-0.058584182075247,0.058584182075247
51,4,6,0.4,0.340503597122302,0.288408644982061,0.350829509573328,0.34157764099811,1.5,0.25,1,-0.0584223590018903,0.0584223590018903
136,13,6,0.32,0.306842105263158,0.315129327177594,0.253145357366506,0.261940732952847,0.75,0.25,2,-0.0580592670471531,0.0580592670471531
31,2,14,0.55,0.344586466165414,0.303473898154421,0.492988894953693,0.493269096988315,0.75,0.5,1,-0.0567309030116847,0.0567309030116847
127,8,3,0.3,0.338652482269504,0.462166905115297,0.242401766281055,0.244448302948053,0.75,0.5,2,-0.0555516970519469,0.0555516970519469
134,13,4,0.13,0.306842105263158,0.315129327177594,0.227102192500907,0.185508281994274,0.75,0.25,2,0.0555082819942745,0.0555082819942745
45,3,16,0.55,0.346893939393939,0.312708696295113,0.478400264722662,0.49607713763773,0.75,0.25,1,-0.0539228623622696,0.0539228623622696
82,11,11,0.2,0.345714285714286,0.301143556791834,0.247943244862506,0.252861473994268,0.75,0.25,1,0.0528614739942677,0.0528614739942677
6,1,6,0.2,0.340451127819549,0.269906316852628,0.262987149457826,0.251794383205723,1.5,0.5,1,0.0517943832057234,0.0517943832057234
160,15,6,0.56,0.333928571428571,0.432788019218239,0.504987908821151,0.611088901796672,1.5,0.25,2,0.0510889017966716,0.0510889017966716
40,3,10,0.26,0.346893939393939,0.312708696295113,0.294344247119308,0.307881950780804,0.75,0.25,1,0.047881950780804,0.047881950780804
11,1,11,0.38,0.340451127819549,0.269906316852628,0.434920329235237,0.426878955619685,1.5,0.5,1,0.0468789556196848,0.0468789556196848
48,4,3,0.2,0.340503597122302,0.288408644982061,0.173590878786377,0.155252516873939,1.5,0.25,1,-0.0447474831260612,0.0447474831260612
148,14,3,0.17,0.330143884892086,0.419235903547031,0.199483438760878,0.214716015686799,0.75,0.5,2,0.044716015686799,0.044716015686799
7,1,7,0.24,0.340451127819549,0.269906316852628,0.294794130279446,0.284289343984413,1.5,0.5,1,0.0442893439844125,0.0442893439844125
17,1,17,0.44,0.340451127819549,0.269906316852628,0.488084182742785,0.483034876130307,1.5,0.5,1,0.0430348761303074,0.0430348761303074
71,10,10,0.7,0.340220588235294,0.280029605156577,0.66689229253677,0.660490770752114,1.5,0.25,1,-0.039509229247886,0.039509229247886
167,16,6,0.62,0.335874125874126,0.427586574116729,0.595422802542317,0.581128513512834,1.5,0.5,2,-0.0388714864871663,0.0388714864871663
86,11,15,0.31,0.345714285714286,0.301143556791834,0.263941384050878,0.27273747755652,0.75,0.25,1,-0.0372625224434803,0.0372625224434803
27,2,10,0.31,0.344586466165414,0.303473898154421,0.344615954504234,0.344212442757706,0.75,0.5,1,0.0342124427577058,0.0342124427577058
35,3,5,0.17,0.346893939393939,0.312708696295113,0.127057295862927,0.135807410603069,0.75,0.25,1,-0.0341925893969306,0.0341925893969306
12,1,12,0.4,0.340451127819549,0.269906316852628,0.439329929583681,0.433191983433142,1.5,0.5,1,0.0331919834331424,0.0331919834331424
90,11,19,0.47,0.345714285714286,0.301143556791834,0.427015828186828,0.439202981174174,0.75,0.25,1,-0.0307970188258255,0.0307970188258255
34,3,3,0.13,0.346893939393939,0.312708696295113,0.0925120362367377,0.101949052380991,0.75,0.25,1,-0.028050947619009,0.028050947619009
100,12,6,0.17,0.339850746268657,0.282996199741186,0.201395642182754,0.197789346782456,0.75,0.5,1,0.0277893467824557,0.0277893467824557
37,3,7,0.2,0.346893939393939,0.312708696295113,0.170785777467512,0.178647904280246,0.75,0.25,1,-0.0213520957197541,0.0213520957197541
29,2,12,0.43,0.344586466165414,0.303473898154421,0.4078309643827,0.409290393169226,0.75,0.5,1,-0.0207096068307741,0.0207096068307741
103,12,9,0.32,0.339850746268657,0.282996199741186,0.340245498327354,0.340627527952656,0.75,0.5,1,0.0206275279526565,0.0206275279526565
97,12,3,0.08,0.339850746268657,0.282996199741186,0.0578600532966761,0.0606140426097896,0.75,0.5,1,-0.0193859573902104,0.0193859573902104
101,12,7,0.2,0.339850746268657,0.282996199741186,0.179153601054174,0.18219461053361,0.75,0.5,1,-0.0178053894663899,0.0178053894663899
19,2,2,0.14,0.344586466165414,0.303473898154421,0.155740648160643,0.157786028734888,0.75,0.5,1,0.0177860287348881,0.0177860287348881
28,2,11,0.38,0.344586466165414,0.303473898154421,0.396896514160509,0.397493557532204,0.75,0.5,1,0.0174935575322044,0.0174935575322044
83,11,12,0.23,0.345714285714286,0.301143556791834,0.235361023159047,0.245129259212887,0.75,0.25,1,0.0151292592128869,0.0151292592128869
80,11,9,0.16,0.345714285714286,0.301143556791834,0.166291638412702,0.174752926174235,0.75,0.25,1,0.0147529261742347,0.0147529261742347
38,3,8,0.23,0.346893939393939,0.312708696295113,0.234479761108442,0.243604467292209,0.75,0.25,1,0.013604467292209,0.013604467292209
8,1,8,0.29,0.340451127819549,0.269906316852628,0.311587448928331,0.30179251849543,1.5,0.5,1,0.0117925184954299,0.0117925184954299
13,1,13,0.43,0.340451127819549,0.269906316852628,0.449366423362966,0.441370338918664,1.5,0.5,1,0.0113703389186641,0.0113703389186641
99,12,5,0.12,0.339850746268657,0.282996199741186,0.102218324646169,0.10918781357727,0.75,0.5,1,-0.0108121864227302,0.0108121864227302
149,14,4,0.24,0.330143884892086,0.419235903547031,0.237518753243855,0.250654233926581,0.75,0.5,2,0.0106542339265807,0.0106542339265807
96,12,2,0.05,0.339850746268657,0.282996199741186,0.066981385777312,0.0603144923796441,0.75,0.5,1,0.0103144923796441,0.0103144923796441
135,13,5,0.17,0.306842105263158,0.315129327177594,0.185578091146681,0.180033292689203,0.75,0.25,2,0.0100332926892027,0.0100332926892027
20,2,3,0.14,0.344586466165414,0.303473898154421,0.144234240515676,0.145826666041409,0.75,0.5,1,0.0058266660414093,0.0058266660414093
84,11,13,0.26,0.345714285714286,0.301143556791834,0.258082408044693,0.265377298208196,0.75,0.25,1,0.0053772982081956,0.0053772982081956
159,15,5,0.48,0.333928571428571,0.432788019218239,0.434890164854881,0.475407326869444,1.5,0.25,2,-0.00459267313055595,0.00459267313055595
44,3,15,0.44,0.346893939393939,0.312708696295113,0.427922617612157,0.444541986121943,0.75,0.25,1,0.00454198612194312,0.00454198612194312
46,4,1,0.08,0.340503597122302,0.288408644982061,0.0982460745700641,0.0759387808242371,1.5,0.25,1,-0.0040612191757629,0.0040612191757629
30,2,13,0.48,0.344586466165414,0.303473898154421,0.475114911376565,0.476140400158453,0.75,0.5,1,-0.00385959984154671,0.00385959984154671
33,3,2,0.13,0.346893939393939,0.312708696295113,0.121575228019074,0.126654376405244,0.75,0.25,1,-0.00334562359475596,0.00334562359475596
81,11,10,0.18,0.345714285714286,0.301143556791834,0.173510944808661,0.183312880506755,0.75,0.25,1,0.00331288050675457,0.00331288050675457
14,1,14,0.45,0.340451127819549,0.269906316852628,0.458688591930493,0.451701951561193,1.5,0.5,1,0.00170195156119268,0.00170195156119268
47,4,2,0.13,0.340503597122302,0.288408644982061,0.153881636795174,0.128704503501033,1.5,0.25,1,-0.00129549649896732,0.00129549649896732
102,12,8,0.24,0.339850746268657,0.282996199741186,0.239674998747831,0.239015561781664,0.75,0.5,1,-0.000984438218336159,0.000984438218336159
15,1,15,0.5,0.340451127819549,0.269906316852628,0.506296419934547,0.500185140862197,1.5,0.5,1,0.000185140862196675,0.000185140862196675
