OriginalIndex,CaseID,ActualVB,PredRouteOnly,QualityRatio,GateThreshold,RoutingBranch
56,9,0.19,0.358673221513068,0.0395555555555556,0.1,Full-sensor branch
57,9,0.27,0.39569315899394,1.0,0.1,smcDC-exclusion branch
58,9,0.38,0.464225105609771,1.0,0.1,smcDC-exclusion branch
59,9,0.47,0.559402338219846,1.0,0.1,smcDC-exclusion branch
60,9,0.64,0.578352618670246,1.0,0.1,smcDC-exclusion branch
61,9,0.81,0.691706921305231,1.0,0.1,smcDC-exclusion branch
62,10,0.0,0.104140100296319,0.0,0.1,Full-sensor branch
63,10,0.04,0.13614850835887,0.0,0.1,Full-sensor branch
64,10,0.08,0.180558010213481,0.0,0.1,Full-sensor branch
65,10,0.16,0.24058829549589,0.0,0.1,Full-sensor branch
66,10,0.25,0.342414552832491,0.0,0.1,Full-sensor branch
67,10,0.36,0.427258715326297,0.0,0.1,Full-sensor branch
68,10,0.43,0.481637241207716,0.0357777777777778,0.1,Full-sensor branch
69,10,0.47,0.491629437408065,0.790444444444444,0.1,smcDC-exclusion branch
70,10,0.53,0.717743054659105,0.818444444444444,0.1,smcDC-exclusion branch
71,10,0.7,0.620856137960718,0.635555555555556,0.1,smcDC-exclusion branch
72,11,0.0,0.0947979595047546,0.0,0.01,Full-sensor branch
73,11,0.04,0.112061256663678,0.0,0.01,Full-sensor branch
74,11,0.07,0.126061802524393,0.0,0.01,Full-sensor branch
75,11,0.07,0.130872072021754,0.0,0.01,Full-sensor branch
76,11,0.08,0.148363596766719,0.0,0.01,Full-sensor branch
77,11,0.09,0.16078984124582,0.0,0.01,Full-sensor branch
79,11,0.12,0.190667479489064,0.0,0.01,Full-sensor branch
80,11,0.16,0.176700346996748,0.0,0.01,Full-sensor branch
81,11,0.18,0.189021893482121,0.0,0.01,Full-sensor branch
82,11,0.2,0.263556588706654,0.0,0.01,Full-sensor branch
83,11,0.23,0.267969434125675,0.0,0.01,Full-sensor branch
84,11,0.26,0.289624973712698,0.0,0.01,Full-sensor branch
86,11,0.31,0.30379776888821,0.0,0.01,Full-sensor branch
87,11,0.37,0.320645695130904,0.0,0.01,Full-sensor branch
89,11,0.42,0.383374853035805,0.0,0.01,Full-sensor branch
90,11,0.47,0.508057898253802,0.0,0.01,Full-sensor branch
91,11,0.57,0.470520279876044,0.0,0.01,Full-sensor branch
92,11,0.65,0.524979003384299,0.0,0.01,Full-sensor branch
93,11,0.68,0.572196806830794,0.0,0.01,Full-sensor branch
94,11,0.76,0.605740279885056,0.0,0.01,Full-sensor branch
96,12,0.05,0.0549813118079823,0.0,0.1,Full-sensor branch
97,12,0.08,0.0595895590032091,0.0,0.1,Full-sensor branch
99,12,0.12,0.104841272892841,0.0,0.1,Full-sensor branch
100,12,0.17,0.183143478558343,0.0,0.1,Full-sensor branch
101,12,0.2,0.179797432897883,0.0,0.1,Full-sensor branch
102,12,0.24,0.234580815814769,0.0,0.1,Full-sensor branch
103,12,0.32,0.336627885588983,0.0,0.1,Full-sensor branch
105,12,0.4,0.357042808061019,0.0,0.1,Full-sensor branch
106,12,0.45,0.387484240902479,0.0,0.1,Full-sensor branch
107,12,0.49,0.399584223475999,0.0,0.1,Full-sensor branch
108,12,0.58,0.459752629799816,0.251777777777778,0.1,smcDC-exclusion branch
109,12,0.65,0.570931454665431,0.982666666666667,0.1,smcDC-exclusion branch
110,5,0.0,0.484946317422573,0.0,0.01,Full-sensor branch
111,5,0.16,0.278334542337993,0.488666666666667,0.01,smcDC-exclusion branch
112,5,0.29,0.381379708343502,0.390666666666667,0.01,smcDC-exclusion branch
113,5,0.44,0.729879285799709,1.0,0.01,smcDC-exclusion branch
114,5,0.53,0.776181393196867,1.0,0.01,smcDC-exclusion branch
115,5,0.74,0.925251452330656,1.0,0.01,smcDC-exclusion branch
116,6,0.0,0.124119761958048,0.0,0.01,Full-sensor branch
117,7,0.0,0.0976468470899786,0.0,0.01,Full-sensor branch
118,7,0.09,0.14662368050391,0.0,0.01,Full-sensor branch
119,7,0.13,0.277216814964745,0.0,0.01,Full-sensor branch
120,7,0.22,0.301011846689293,0.0,0.01,Full-sensor branch
121,7,0.24,0.425726338606449,0.0,0.01,Full-sensor branch
122,7,0.34,0.389380236335936,0.0,0.01,Full-sensor branch
123,7,0.46,0.284482853996641,0.0,0.01,Full-sensor branch
125,8,0.0,0.154205927733805,0.0,0.01,Full-sensor branch
126,8,0.18,0.221180501577295,0.0,0.01,Full-sensor branch
127,8,0.3,0.232178502952679,0.0,0.01,Full-sensor branch
129,8,0.44,0.316558224902843,0.0,0.01,Full-sensor branch
130,8,0.62,0.41689757982172,0.0,0.01,Full-sensor branch
133,13,0.1,0.150991658467505,0.0,0.01,Full-sensor branch
134,13,0.13,0.146215363041794,0.0,0.01,Full-sensor branch
135,13,0.17,0.158245667587493,0.0,0.01,Full-sensor branch
136,13,0.32,0.249915726909338,0.0,0.01,Full-sensor branch
137,13,0.38,0.211088318586028,0.0,0.01,Full-sensor branch
138,13,0.49,0.316940056105331,0.0,0.01,Full-sensor branch
139,13,0.56,0.274233263750269,0.0,0.01,Full-sensor branch
140,13,0.68,0.38697788026936,0.0,0.01,Full-sensor branch
141,13,0.83,0.327070905454266,0.0,0.01,Full-sensor branch
142,13,0.92,0.435252629226116,0.0,0.01,Full-sensor branch
143,13,1.07,0.504564882266138,0.0,0.01,Full-sensor branch
144,13,1.3,0.634628925769567,0.821555555555556,0.01,smcDC-exclusion branch
145,13,1.53,0.488367391877684,0.885777777777778,0.01,smcDC-exclusion branch
147,14,0.09,0.177566450414558,0.0,0.01,Full-sensor branch
148,14,0.17,0.220059485752131,0.0,0.01,Full-sensor branch
149,14,0.24,0.253356921591146,0.0,0.01,Full-sensor branch
151,14,0.35,0.426133482590113,0.0,0.01,Full-sensor branch
152,14,0.6,0.507014491109868,1.0,0.01,smcDC-exclusion branch
153,14,0.81,0.530430370532235,1.0,0.01,smcDC-exclusion branch
154,14,1.14,0.595360992548198,1.0,0.01,smcDC-exclusion branch
156,15,0.15,0.412911026186805,0.0,0.01,Full-sensor branch
157,15,0.28,0.515522898792519,0.0,0.01,Full-sensor branch
158,15,0.37,0.651822768787347,0.0,0.01,Full-sensor branch
159,15,0.48,0.435282891544618,0.0208888888888889,0.01,smcDC-exclusion branch
160,15,0.56,0.579214288482745,0.126444444444444,0.01,smcDC-exclusion branch
161,15,0.7,0.700115919069836,0.943333333333333,0.01,smcDC-exclusion branch
164,16,0.24,0.555384899991318,1.0,0.01,smcDC-exclusion branch
166,16,0.4,0.517116476673111,1.0,0.01,smcDC-exclusion branch
167,16,0.62,0.596631687298602,1.0,0.01,smcDC-exclusion branch
